"","OBJECTID","ID_DEPA","ID_PROV","P_NOMB","P_CAPIT","ID_DEPNOM","Poblacion","ranking1","IDH","ranking2","EVN","ranking3","POB_ESC","ranking4","POREDAD_25","ranking5","ING_PROMED","ranking6"
"0","586","01","0101","CHACHAPOYAS","CHACHAPOYAS","AMAZONAS",54783,114,0.43437528891,60,73.9547496448,80,45.4878254195,100,7.79969865624,64,599.807607846,45
"1","587","01","0102","BAGUA","BAGUA","AMAZONAS",77438,80,0.386663635953,75,76.8789680168,37,39.8436630006,118,6.97155341222,101,467.644186914,73
"2","588","01","0103","BONGARA","JUMBILLA","AMAZONAS",32317,146,0.349791140808,94,73.3692773154,95,29.4567962455,160,6.46421340362,114,455.714231796,79
"3","589","01","0104","CONDORCANQUI","SANTA MARIA DE NIEVA","AMAZONAS",51802,120,0.186626282318,192,70.3913669514,144,8.01263439812,195,5.57731326273,147,180.070241372,186
"4","590","01","0105","LUYA","LAMUD","AMAZONAS",52185,118,0.307598117898,128,74.0657348789,79,34.4038342187,137,5.50403360818,150,327.84929131,116
"5","591","01","0106","RODRIGUEZ DE MENDOZA","MENDOZA","AMAZONAS",30236,154,0.331061919195,108,73.3531789035,97,26.6037320163,169,6.07663461741,128,427.096209764,86
"6","592","01","0107","UTCUBAMBA","BAGUA GRANDE","AMAZONAS",118747,52,0.367795410928,85,74.7702106701,69,33.4010932788,143,6.19716413664,124,494.72180776,70
"7","593","02","0201","HUARAZ","HUARAZ","ANCASH",161003,32,0.481612273457,40,73.197564267,100,67.6026676027,34,9.27324858204,32,609.702732573,42
"8","594","02","0202","AIJA","AIJA","ANCASH",7974,194,0.279352564005,148,62.5977944774,184,34.7853705865,136,7.24362589483,83,269.836451453,146
"9","595","02","0203","ANTONIO RAYMONDI","LLAMELLIN","ANCASH",16879,178,0.226426288075,182,70.1511352629,145,26.48604737,170,5.94681050086,130,171.72834032,188
"10","596","02","0204","ASUNCION","CHACAS","ANCASH",9013,189,0.273880661385,153,69.9566968813,147,33.692834677,141,5.37566259326,157,267.035809872,149
"11","597","02","0205","BOLOGNESI","CHIQUIAN","ANCASH",32452,144,0.368039405638,84,69.282848438,153,50.8413419399,82,7.70427070619,69,397.133019997,91
"12","598","02","0206","CARHUAZ","CARHUAZ","ANCASH",46434,129,0.313397947395,123,78.0554000836,20,39.3942508328,119,5.19413513856,165,314.634149756,125
"13","599","02","0207","CARLOS FERMIN FITZCARRALD","SAN LUIS","ANCASH",21920,172,0.227753958782,181,73.700085846,84,22.0148441025,187,4.75545157748,185,202.614154924,175
"14","600","02","0208","CASMA","CASMA","ANCASH",46032,130,0.480029108072,42,77.2593260623,33,55.2266038151,72,8.13841300387,58,665.502517483,30
"15","601","02","0209","CORONGO","CORONGO","ANCASH",8340,191,0.314210518393,122,71.6010740766,123,32.7943767381,146,6.31068257401,119,340.040675201,110
"16","602","02","0210","HUARI","HUARI","ANCASH",63726,97,0.315393328508,121,73.626460867,87,44.682151638,101,6.33171160023,117,287.696380315,136
"17","603","02","0211","HUARMEY","HUARMEY","ANCASH",29972,155,0.502649554763,32,77.6910405745,22,63.8830897704,48,9.12419228053,36,656.010083922,33
"18","604","02","0212","HUAYLAS","CARAZ","ANCASH",56102,112,0.318717102026,118,78.1977166032,19,28.3552690878,162,5.64791629988,145,359.71755141,99
